Thu Jun  5 23:31:38 -03 2025
Running test 1 for UF: brazil with algorithm: ACO
AntColonyOptimization::new() called with 5570 cities, using 25 antsExecute AntColonyOptimization
Iteration 236: Best Cost = 1461.5643
Iteration 237: Best Cost = 1461.5643
Iteration 238: Best Cost = 1461.5643
Iteration 239: Best Cost = 1461.5643
Iteration 240: Best Cost = 1461.5643
Iteration 241: Best Cost = 1461.5643
Iteration 242: Best Cost = 1461.5643
Iteration 243: Best Cost = 1461.5643
Iteration 244: Best Cost = 1461.5643
Iteration 245: Best Cost = 1461.5643
Iteration 246: Best Cost = 1461.5643
Iteration 247: Best Cost = 1461.5643
Iteration 248: Best Cost = 1461.5643
Iteration 249: Best Cost = 1461.5643
Iteration 250: Best Cost = 1461.5643
Iteration 251: Best Cost = 1461.5643
Iteration 252: Best Cost = 1461.5643
Iteration 253: Best Cost = 1461.5643
Iteration 254: Best Cost = 1461.5643
Iteration 255: Best Cost = 1461.5643
Iteration 256: Best Cost = 1461.5643
Iteration 257: Best Cost = 1461.5643
Iteration 258: Best Cost = 1461.5643
Iteration 259: Best Cost = 1461.5643
Iteration 260: Best Cost = 1461.5643
Iteration 261: Best Cost = 1461.5643
Iteration 262: Best Cost = 1461.5643
Iteration 263: Best Cost = 1461.5643
Iteration 264: Best Cost = 1461.5643
Iteration 265: Best Cost = 1461.5643
Iteration 266: Best Cost = 1461.5643
Iteration 267: Best Cost = 1461.5643
Iteration 268: Best Cost = 1461.5643
Iteration 269: Best Cost = 1461.5643
Iteration 270: Best Cost = 1461.5643
Iteration 271: Best Cost = 1461.5643
Iteration 272: Best Cost = 1461.5643
Iteration 273: Best Cost = 1461.5643
Iteration 274: Best Cost = 1461.5643
Iteration 275: Best Cost = 1461.5643
Iteration 276: Best Cost = 1461.5643
Iteration 277: Best Cost = 1461.5643
Iteration 278: Best Cost = 1461.5643
Iteration 279: Best Cost = 1461.5643
Iteration 280: Best Cost = 1461.5643
Iteration 281: Best Cost = 1461.5643
Iteration 282: Best Cost = 1461.5643
Iteration 283: Best Cost = 1461.5643
Iteration 284: Best Cost = 1461.5643
Iteration 285: Best Cost = 1461.5643
Iteration 286: Best Cost = 1461.5643
Iteration 287: Best Cost = 1461.5643
Iteration 288: Best Cost = 1461.5643
Iteration 289: Best Cost = 1461.5643
Iteration 290: Best Cost = 1461.5643
Iteration 291: Best Cost = 1461.5643
Iteration 292: Best Cost = 1461.5643
Iteration 293: Best Cost = 1461.5643
Iteration 294: Best Cost = 1461.5643
Iteration 295: Best Cost = 1461.5643
Iteration 296: Best Cost = 1461.5643
Iteration 297: Best Cost = 1461.5643
Iteration 298: Best Cost = 1461.5643
Iteration 299: Best Cost = 1461.5643
Iteration 300: Best Cost = 1461.5643
Iteration 301: Best Cost = 1461.5643
